Family Name,Algorithm Name,Year,Time Complexity Class,average_monthly_reads,years_since_problem_introduced,years_since_last_improvement,Number of Authors
Clique Problems,"David Eppstein, Maarten Löffler, Darren Strash",2010,8,1403.0618556701031,50,19,3
Clique Problems,Chiba and Nishizeki,1985,6,56.21649484536083,50,19,2
Clique Problems,M. Chrobak and D. Eppstein,1989,8,0.0,50,19,2
Clique Problems,"Shuji Tsukiyama, Mikio Ide, Hiromu Ariyoshi, and Isao Shirakawa",1977,6,0.0,50,19,4
Clique Problems,"Kazuhisa Makino, Takeaki Uno; Section 5",2004,5.3728596,0.0,50,19,2
The Traveling-Salesman Problem,Held–Karp algorithm,1962,8,2032.0515463917525,69,21,2
The Traveling-Salesman Problem,Christofides algorithm,1976,6,2296.6494845360826,69,21,1
The Traveling-Salesman Problem,Lawler; E. L.,1985,8,18190.56701030928,69,21,2
The Traveling-Salesman Problem,TSPLIB,1991,8,47464.0206185567,69,21,1
Poisson Problem,9-point Tensor product,1964,6,0.0,78,58,3
Poisson Problem,9-point Tensor product,1964,7,0.0,78,58,3
Delaunay Triangulation,Flipping algorithm,1999,5,15172.701030927836,89,27,3
Delaunay Triangulation,de Berg; Cheong,2008,4,0.0,89,27,1
Delaunay Triangulation,Bowyer–Watson algorithm,1981,4,1188.618556701031,89,27,1
Delaunay Triangulation,Belloch,2006,4,0.0,89,27,4
Delaunay Triangulation,Guibas; Stofli,1985,4,0.0,89,27,1
Delaunay Triangulation,Fortune,1992,5,0.0,89,27,1
Delaunay Triangulation,S-hull (Sinclair),2010,4,0.0,89,27,1
Delaunay Triangulation,Dwyer,1987,4,15172.701030927836,89,27,1
Delaunay Triangulation,Katajainen and M. Koppinen,1988,4,0.0,89,27,2
Delaunay Triangulation,Drysdale; Su,1996,3,0.0,89,27,2
Delaunay Triangulation,Dwyer (higher dimensions),1987,3.99,15172.701030927836,89,27,1
De Novo Genome Assembly,"de Bruijn Graph (Idury, Waterman)",1994,5,0.0,39,13,2
De Novo Genome Assembly,String Graph (Myers),1994,4,0.0,39,13,1
De Novo Genome Assembly,"String Graph with Ferragina–Manzini Index (Simpson, Durbin)",2010,3,0.0,39,13,2
Dependency Inference Problem,Brute force algorithm,1967,8,0.0,56,56,2
BCNF Decomposition,Liu,1992,6,0.0,31,31,1
Dependency Inference Problem,Räihä; Manilla,1992,8,0.0,56,56,2
Dependency Inference Problem,Catriel Beeri Ronald Fagin John H. Howard,1977,8,0.0,56,56,3
The Vertex Cover Problem,Chen; I. Kanj; and W. Jia.,2001,8,514.5051546391752,83,83,1
The Vertex Cover Problem,Chandran and F. Grandoni,2004,8,0.0,83,83,2
The Vertex Cover Problem,Chen; I. Kanj; and W. Jia.,2006,8,8103.144329896907,83,83,3
The Vertex Cover Problem,J. Chen; L. Liu; and W. Jia.,2000,8,0.0,83,83,3
The Vertex Cover Problem,Balasubramanian; Fellows,1996,8,0.0,83,83,3
The Vertex Cover Problem,Papadimitriou and M Yannakakis,1996,8,942.4536082474228,83,83,2
The Vertex Cover Problem,"Niedermeier, Rossmanith",1999,8,0.0,83,83,1
The Vertex Cover Problem,Downey,1998,8,0.0,83,83,3
CFG Problems,Cocke–Younger–Kasami algorithm,1968,6,3869.752577319587,55,48,1
CFG Problems,Valiant,1975,5.3728596,0.0,55,48,1
CFG Problems,Earley parser,1968,6,1763.5257731958764,55,48,1
CFG Problems,GLR parser,1974,6,1052.4536082474226,55,48,1
Finding Frequent Itemsets,A-Priori algorithm,1994,5,9207.0,29,29,2
Finding Frequent Itemsets,The Algorithm of Park; Chen; and Yu (PCY),1995,5,0.0,29,29,3
Data Compression,Gupta; Verdu,2009,5.03,0.0,83,15,2
Data Compression,Discrete Cosine Transform,1974,5,16640.0,83,15,3
Data Compression,Maneva and M. J. Wainwright,2005,5,0.0,83,15,2
Data Compression,Ciliberti; Mézard,2005,5,0.0,83,15,3
Data Compression,Matsunaga; Yamamoto,2003,8,0.0,83,15,2
Data Compression,Sun; M. Shao; J. Chen; K. Wong; and X. Wu,2010,8,0.0,83,15,5
Data Compression,Miyake 2006,2006,8,0.0,83,15,1
Data Compression,Martinian and M. J. Wainwright,2006,8,0.0,83,15,2
Data Compression,Jalali and T. Weissman,2008,3,0.0,83,15,2
Data Compression,Jalali; A. Montanari; and T. Weissman,2010,3,0.0,83,15,3
Data Compression,Korada and R. Urbanke;,2010,8,0.0,83,15,2
Factorization of Polynomials Over Finite Fields,Berlekamp's algorithm,1967,6.01,612.2989690721649,83,33,1
Factorization of Polynomials Over Finite Fields,Cantor–Zassenhaus algorithm,1981,6.01,355.03092783505156,83,33,2
Factorization of Polynomials Over Finite Fields,Victor Shoup's algorithm,1990,5,1361.1958762886595,83,33,1
Cryptanalysis of Linear Feedback Shift Registers,Berlekamp–Massey algorithm,1969,5,1324.0309278350514,54,54,1
Stable Matching Problem,Gale–Shapley algorithm,1962,5,3003.6082474226805,61,15,2
Stable Matching Problem,Irving's Algorithm,1985,5,1399.7835051546392,61,15,1
Stable Matching Problem,Manlove; Malley,2005,5,0.0,61,15,2
Stable Matching Problem,Unsworth; C.; Prosser; P,2005,5,0.0,61,15,2
Stable Matching Problem,Hentenryck et. al.,1992,6,0.0,61,15,2
Stable Matching Problem,Gent; I.P.; Irving; R.W.; Manlove; D.F.; Prosser; P.; Smith; B.M.,2001,5,0.0,61,15,5
Stable Matching Problem,Patrick Posser,2014,6,0.0,61,15,1
Stable Matching Problem,S. S. TSENG and R. C. T. LEE,1984,5,0.0,61,15,2
Stable Matching Problem,"Tomas Feder, Nimrod Megiddoy, Serge A Plotki",1994,2.5,0.0,61,15,3
Longest Path Problem,Ioannidou; Kyriaki; Mertzios; George B.; Nikolopoulos; Stavros D.,2011,7,5857.360824742268,12,12,3
Constructing Suffix Trees,Weiner's algorithm,1973,3,6595.412371134021,50,26,1
Constructing Suffix Trees,Ukkonen,1995,3,6595.412371134021,50,26,1
Constructing Suffix Trees,Ukkonen and D. Wood,1993,5,0.0,50,26,2
Constructing Suffix Trees,Hariharan,1997,2.03,0.0,50,26,1
Constructing Suffix Trees,Süleyman Cenk Sahinalp ; Uzi Vishkin,1994,2.01,0.0,50,26,2
Constructing Suffix Trees,Farach,1997,2,6595.412371134021,50,26,2
Constructing Suffix Trees,Rytter,2004,2,0.0,50,26,2
Entity Resolution,Fellegi & Sunter Model,1969,6.5,2777.979381443299,54,34,2
Entity Resolution,Gupta & Sarawagi CRF,2009,6.5,0.0,54,34,2
Entity Resolution,EM Based Winkler,2000,6.5,0.0,54,34,1
Entity Resolution,Ravikumar & Cohen Generative Models,2004,5.5,0.0,54,34,2
Entity Resolution,Bellare Active Learning,2012,5.01,0.0,54,34,4
Entity Resolution,Ananthakrishna,2002,5.5,0.0,54,34,3
Entity Resolution,BOYS algorithm,1993,5.5,0.0,54,34,1
Longest Palindromic Substring,Manacher,1975,3,7184.938144329897,83,48,1
Longest Palindromic Substring,Jeuring,1994,3,7184.938144329897,83,48,1
Longest Palindromic Substring,Gusfield,1997,3,7184.938144329897,83,48,1
Register Allocation,Demand-Driven Register Allocation,1996,5,0.0,42,24,2
AST to Code Translation,Sethi–Ullman Algorithm,1970,3,263.17525773195877,53,53,2
Graph Isomorphism Problem,Babai and Luks,1983,8,3338.742268041237,47,47,2
Graph Isomorphism Problem,Babai,1980,8,0.0,47,47,1
Graph Isomorphism Problem,Spielman,1996,8,0.0,47,47,1
Graph Isomorphism Problem,Schmidt & Druffel,1976,8,3338.742268041237,47,47,2
Graph Isomorphism Problem,Babai,2017,7.5,3338.742268041237,47,47,1
Graph Isomorphism Problem,Muzychuk,2004,5,3338.742268041237,47,47,1
Graph Isomorphism Problem,Bodlaender,1990,7,0.0,47,47,1
Graph Isomorphism Problem,Babai & Codenotti,2008,8,3338.742268041237,47,47,2
Graph Realization Problems,Kleitman–Wang Algorithm,1973,3,51.49484536082474,50,50,2
Graph Realization Problems,Fulkerson–Chen–Anstee,1982,3,69.90721649484536,50,50,1
Graph Realization Problems,Berger & Müller-Hannemann,2011,8,58.7319587628866,50,50,2
Duplicate Elimination,Sorted Neighborhood Algorithm (SNA),1998,5,0.0,59,59,2
Duplicate Elimination,Adaptive Duplicate Detection Algorithm (ADD),2003,6,0.0,59,59,2
Hyperbolic Spline Interpolation,B.I. Kvasov,2008,6,0.0,55,15,1
Hyperbolic Spline Interpolation,V. A. Lyul’ka and A. V. Romanenko,1994,7,0.0,55,15,2
Hyperbolic Spline Interpolation,V. A. Lyul’ka and I. E. Mikhailov,2003,7,0.0,55,15,2
Hyperbolic Spline Interpolation,"P. Costantini, B. I. Kvasov, and C. Manni",1999,7,0.0,55,15,3
Hyperbolic Spline Interpolation,B. I. Kvasov,2000,7,0.0,55,15,1
Mesh Parameterization,ECK M.; DEROSE T.; DUCHAMP T.; 1995,1995,5,0.0,30,16,6
Mesh Parameterization,FLOATER 1997,1997,5,0.0,30,16,1
Mesh Parameterization,PINKALL U.; POLTHIER K 1993,1993,5,32.26086956521739,30,16,2
Mesh Parameterization,FLOATER 2003,2003,5,0.0,30,16,1
Mesh Parameterization,LEE Y.; KIM H. S.; LEE S 2002,2002,4.02,0.0,30,16,3
Mesh Parameterization,DESBRUN M.; MEYER M.; ALLIEZ P. 2002,2002,5,0.0,30,16,3
Mesh Parameterization,KARNI Z.; GOTSMAN C.; GORTLER S. J. 2005,2005,5,0.0,30,16,3
Mesh Parameterization,HORMANN K.; GREINER G 1999,1999,5,0.0,30,16,1
Mesh Parameterization,SHEFFER A.; DE STURLER E. 2000,2000,5,0.0,30,16,2
Mesh Parameterization,SHEFFER A.; LÉVY B.; MOGILNITSKY M.; BOGOMYAKOV A. 2005,2005,5,0.0,30,16,4
Mesh Parameterization,ZAYER R.; LÉVY B.; SEIDEL H.-P. 2007,2007,3,0.0,30,16,3
Mesh Parameterization,SANDER P. V.; SNYDER J.; GORTER S. J.; HOPPE 2001,2001,5,0.0,30,16,4
Mesh Parameterization,ZAYER R.; ROESSL C.; SEIDEL H.-P 2005,2005,4,0.0,30,16,4
Mesh Parameterization,YOSHIZAWA S.; BELYAEV A. G.; SEIDEL H.-P 2004,2004,5,0.0,30,16,3
Mesh Parameterization,CHEN Z. G.; LIU L. G.; ZHANG Z. Y.; WANG G. J. 2007,2007,5,0.0,30,16,4
Mesh Parameterization,SPRINGBORN B.; SCHROEDER P.; PINKALL U. 2008,2008,4.01,0.0,30,16,3
Maximum Likelihood Methods in Unknown Latent Variables,Expectation-Maximization (EM) algorithm,1977,6,19184.103092783505,46,12,3
Maximum Likelihood Methods in Unknown Latent Variables,EM with Quasi-Newton Methods (Jamshidian; Mortaza; Jennrich; Robert I.),1997,5.03,19184.103092783505,46,12,2
Maximum Likelihood Methods in Unknown Latent Variables,Parameter-expanded expectation maximization (PX-EM),1998,6,0.0,46,12,3
Maximum Likelihood Methods in Unknown Latent Variables,Expectation conditional maximization (ECM),1993,6,19184.103092783505,46,12,2
Maximum Likelihood Methods in Unknown Latent Variables,Expectation conditional maximization either (ECME) (Liu; Chuanhai; Rubin; Donald B),1994,6,19184.103092783505,46,12,2
Maximum Likelihood Methods in Unknown Latent Variables,α-EM Algorithm,2003,6,0.0,46,12,1
Maximum Likelihood Methods in Unknown Latent Variables,"alpha-HMM (Matsuyama, Yasuo)",2011,5.02,19184.103092783505,46,12,1
Filtering Problem (Stochastic Processes),Kushner non-linear filter,1967,6,1267.6701030927834,64,25,1
Filtering Problem (Stochastic Processes),Zakai,1969,6,0.0,64,25,1
Filtering Problem (Stochastic Processes),Damiano Brigo; Bernard Hanzon and François LeGland,1998,5.46,1267.6701030927834,64,25,3
Filtering Problem (Stochastic Processes),Del Moral; Pierre,1998,5,65893.26804123711,64,25,1
Filtering Problem (Stochastic Processes),Ocone,1999,5,8201.525773195875,64,25,1
Optimal Policies for MDPs,Bellman Value Iteration (VI),1957,8,0.0,66,63,1
Optimal Policies for MDPs,Howard Policy Iteration (PI),1960,6,0.0,66,63,1
The Set-Covering Problem,Integer linear program Vazirani,2001,5,38723.13402061856,51,17,1
The Set-Covering Problem,Greedy Algorithm,1996,6.01,6902.350515463918,51,17,1
The Set-Covering Problem,Lund & Yannakakis,1994,8,6902.350515463918,51,17,2
The Set-Covering Problem,Feige,1998,8,6902.350515463918,51,17,1
The Set-Covering Problem,Raz & Safra,1997,6.03,6902.350515463918,51,17,2
The Set-Covering Problem,Dinur & Steurer,2013,5.01,6902.350515463918,51,17,2
The Set-Covering Problem,Cardoso; Nuno; Abreu; Rui,2014,5,6902.350515463918,51,17,2
Motif Search,Helden Oligo-Analysis,1998,3,0.0,35,20,3
Motif Search,van Helden J; Rios AF; Collado-Vides J,2000,3,0.0,35,20,1
Motif Search,Sinha S; Tompa M YMF (Yeast Motif Finder),2000,2.83,86.84536082474227,35,20,2
Motif Search,Bailey TL; Elkan C MEME,1995,5,5773.092783505154,35,20,2
Motif Search,Sagot M,1988,4.225,86.84536082474227,35,20,1
Motif Search,Liang Cwinnower,2003,2.75,0.0,35,20,3
Motif Search,Kingsford,2006,3,0.0,35,20,3
Link Analysis,The INDEGREE Algorithm,1997,6,0.0,26,25,1
Link Analysis,The (Hyperlink-Induced Topic Search) HITS Algorithm,1998,5,2577.2061855670104,26,25,1
Link Analysis,Kleinberg,1998,7,2577.2061855670104,26,25,1
Link Analysis,The (Stochastic Approach for Link Structure Analysis) SALSA Algorithm,2000,7,133.2164948453608,26,25,2
Link Analysis,Randomized HITS,2001,6.01,0.0,26,25,3
Link Analysis,PHITS Coheng Chan,2000,6,0.0,26,25,2
Link Analysis,Haveliwala,2002,6,188.28865979381445,26,25,1
Link Analysis,Jeh and Widom,2003,6,623.3711340206186,26,25,2
Link Analysis,Richardson and Domingos,2002,6,43668.49484536082,26,25,2
Link Analysis,Tomlin,2003,6,0.0,26,25,1
Link Analysis,Achlioptas,2001,6,0.0,26,25,4
Distributed Locking Algorithms,Chubby (Mike Burrows),2006,3,7079.381443298969,34,34,1
Distributed Locking Algorithms,Tushar Deepak Chandra and Sam Toueg,1996,3,225.22680412371133,34,34,2
Point-in-Polygon,Ray casting algorithm Shimrat; M,1962,3,7036.5360824742265,61,61,1
Point-in-Polygon,Nordbeck and Rystedt (Grid Method),1967,3,0.0,61,61,2
Point-in-Polygon,Salomon (Swath Method),1978,4,0.0,61,61,1
Point-in-Polygon,Nordbeck and Rystedt (Sum of area),1967,3,0.0,61,61,2
Point-in-Polygon,Preparata and Shamos (Wedge),1985,3,1053.701030927835,61,61,2
Point-in-Polygon,Saalfeld (Sign of offset),1987,3,0.0,61,61,1
Point-in-Polygon,Preparata and Shamos (Intersection sum of angle),1985,3,1053.701030927835,61,61,2
Point-in-Polygon,Nordbeck and Rystedt (Orientation),1967,3,0.0,61,61,2
Clock Synchronization in Distributed Systems,ASP,2005,3,0.0,19,19,3
Clock Synchronization in Distributed Systems,Clock-sampling mutual network synchronization,2007,3,4673.061855670103,19,19,2
Clock Synchronization in Distributed Systems,MATSF,2004,3,0.0,19,19,2
Maximum Cut,Motwani & Raghavan,1995,3,12000.721649484536,48,28,2
Maximum Cut,Mitzenmacher & Upfal,2005,6,21829.9793814433,48,28,2
Maximum Cut,"Khuller; Raghavachari & Young, ""Greedy Methods""",2007,5,2607.443298969072,48,28,1
Maximum Cut,Ausiello et al.,2003,6.01,1250.40206185567,48,28,6
Maximum Cut,Dunning; Gupta & Silberholz,2018,6,2607.443298969072,48,28,3
Wiener Index,Ruchansky,2015,5.01,71.84536082474227,8,8,5
Determinant of Matrices with Integer Entries,Bareiss algorithm,1968,5.52,593.2886597938144,55,55,1
Integer Relation,Ferguson–Forcade algorithm,1979,6,488.4845360824742,44,44,2
Integer Relation,LLL algorithm,1982,7,3465.0,44,44,3
Integer Relation,PSOS algorithm,1988,6,488.4845360824742,44,44,2
Integer Relation,PSLQ algorithm,1992,6,488.4845360824742,44,44,3
Sequence-to-Graph Alignment,Amir et al.,1997,6,0.0,26,23,3
Sequence-to-Graph Alignment,Navarro,2000,5,0.0,26,23,1
Sequence-to-Graph Alignment,HybridSpades,2015,7,0.0,26,23,4
Sequence-to-Graph Alignment,V-ALIGN,2018,6,0.0,26,23,4
Sequence-to-Graph Alignment,Rautiainen and Marschall,2017,5,0.0,26,23,2
Sequence-to-Graph Alignment,"Jain, Chang",2019,5,0.0,26,23,4
Sequence-to-Graph Alignment,"Rautiainen, Marschall",2019,5,0.0,26,23,3
Logarithm Calculations,Baby-step Giant-step,1971,8,1787.721649484536,101,101,1
Logarithm Calculations,Function Field Sieve (FFS),1999,8,469.50515463917526,101,101,2
Logarithm Calculations,Number Field Sieve (NFS),1990,8,809.3917525773196,101,101,1
Logarithm Calculations,Pohlig-Hellman,1978,8,1265.721649484536,101,101,2
Logarithm Calculations,Pollard's rho algorithm,1978,8,3129.8453608247423,101,101,1
Logarithm Calculations,Pollard's kangaroo algorithm,1978,8,691.1134020618557,101,101,1
Self-Balancing Trees Creation,"Guibas, Sedgewick Red-Black Tree",1972,4,24400.80412371134,61,61,2
Self-Balancing Trees Insertion,"Guibas, Sedgewick Red-Black Tree",1972,2,24400.80412371134,53,53,2
Self-Balancing Trees Deletion,"Guibas, Sedgewick Red-Black Tree",1972,2,24400.80412371134,53,53,2
Self-Balancing Trees Search,"Guibas, Sedgewick Red-Black Tree",1972,2,24400.80412371134,53,53,2
Transitive Reduction Problem,"Aho, Garey & Ullman",1972,5.3728596,1244.4845360824745,51,9,3
Transitive Reduction Problem,"Aho, Garey & Ullman",1972,5.807,1244.4845360824745,51,9,3
Transitive Reduction Problem,"Aho, Garey & Ullman",1978,5.8,0.0,51,9,3
Transitive Reduction Problem,"Aho, Garey & Ullman",1979,5.78,0.0,51,9,3
Transitive Reduction Problem,"Aho, Garey & Ullman",1980,5.52,0.0,51,9,3
Transitive Reduction Problem,"Aho, Garey & Ullman",1980,5.518,0.0,51,9,3
Transitive Reduction Problem,"Aho, Garey & Ullman",1981,5.495,1244.4845360824745,51,9,3
Transitive Reduction Problem,"Aho, Garey & Ullman",1986,5.48,0.0,51,9,3
Transitive Reduction Problem,"Aho, Garey & Ullman",1990,5.372,0.0,51,9,3
Transitive Reduction Problem,"Aho, Garey & Ullman",2014,5.373,0.0,51,9,3
Transitive Reduction Problem,"Aho, Garey & Ullman",2014,5.371,0.0,51,9,3
Transitive Reduction Problem,"Gries, Martin",1989,6,0.0,51,9,4
n-Queens Problem,Dijkstra,1972,8,0.0,175,5,3
n-Queens Problem,"Rivin, Zabih",1992,8,0.0,175,5,2
Tower of Hanoi,Hanoi graph,2008,8,30621.20618556701,140,140,3
Block Ciphers,RC5,1994,3,2064.546391752577,47,47,1
Block Ciphers,Rijndael / AES,2001,3,10258.061855670105,47,47,2
Block Ciphers,Blowfish,1993,3,10870.443298969072,47,47,1
Polynomial Interpolation,Bjorck,1970,5,0.0,53,53,2
Polynomial Interpolation,Higham,1988,5,0.0,53,53,1
Polynomial Interpolation,"Calvetti, Reichel",1993,5,1938.59793814433,53,53,2
Greatest Common Divisor,Binary GCD algorithm,1967,5,2202.4123711340208,83,17,1
Greatest Common Divisor,"Sthele, Zimmermann",2006,4.011,2202.4123711340208,83,17,2
Deadlock avoidance,Banker's Algorithm,1966,5,6123.79381443299,57,57,1
Page Replacements,Longest distance first (LDF) page replacement algorithm,2017,3,10101.577319587628,83,83,2
Recovery,ARIES,1992,3,1404.0721649484535,31,31,5
